id,full_name,url,stars,forks,collaborators,commits,open_issue,closed_issue
323721661,PyTorchLightning/metrics,https://api.github.com/repos/PyTorchLightning/metrics,710,156,102,691,39,249
66424871,pytorch/examples,https://api.github.com/repos/pytorch/examples,17830,8367,172,569,255,248
242672435,pykeen/pykeen,https://api.github.com/repos/pykeen/pykeen,721,103,24,2575,94,246
111524376,open-mmlab/mmskeleton,https://api.github.com/repos/open-mmlab/mmskeleton,2419,897,9,663,177,246
319265460,zhouhaoyi/Informer2020,https://api.github.com/repos/zhouhaoyi/Informer2020,2137,480,9,152,13,245
96111593,huggingface/neuralcoref,https://api.github.com/repos/huggingface/neuralcoref,2481,434,18,116,46,245
154843614,openvinotoolkit/training_extensions,https://api.github.com/repos/openvinotoolkit/training_extensions,974,373,62,2931,9,243
203465734,facebookresearch/SlowFast,https://api.github.com/repos/facebookresearch/SlowFast,4567,908,22,163,248,240
131044128,PaddlePaddle/PARL,https://api.github.com/repos/PaddlePaddle/PARL,2432,631,27,422,62,238
276901861,jdb78/pytorch-forecasting,https://api.github.com/repos/jdb78/pytorch-forecasting,1740,270,25,1174,161,237
89846872,jindongwang/transferlearning,https://api.github.com/repos/jindongwang/transferlearning,8766,3076,30,960,5,237
124918816,pytorchbearer/torchbearer,https://api.github.com/repos/pytorchbearer/torchbearer,616,68,13,430,8,237
303705119,lightly-ai/lightly,https://api.github.com/repos/lightly-ai/lightly,1472,99,13,630,66,236
37615400,kristinbranson/APT,https://api.github.com/repos/kristinbranson/APT,57,10,10,3443,135,233
24376854,libxsmm/libxsmm,https://api.github.com/repos/libxsmm/libxsmm,604,152,42,16580,14,232
37536320,epam/Indigo,https://api.github.com/repos/epam/Indigo,181,74,38,4293,223,229
152700563,cardwing/Codes-for-Lane-Detection,https://api.github.com/repos/cardwing/Codes-for-Lane-Detection,911,327,6,255,101,229
130259654,xinntao/BasicSR,https://api.github.com/repos/xinntao/BasicSR,2918,684,2,462,184,228
278415292,open-mmlab/mmclassification,https://api.github.com/repos/open-mmlab/mmclassification,1084,389,57,501,46,226
123424015,shibing624/pycorrector,https://api.github.com/repos/shibing624/pycorrector,3002,742,11,607,9,224
