id,full_name,url,stars,forks,commit,openIssue,closedIssue,collaborators,last_activity
38223600,openvax/mhcflurry,https://api.github.com/repos/openvax/mhcflurry,131,43,1624,3,111,10,2021-11-30T23:43:45Z
60138482,kundajelab/deeplift,https://api.github.com/repos/kundajelab/deeplift,606,142,553,34,48,10,2021-11-11T17:50:26Z
103655196,AICommunityInno/Seminars,https://api.github.com/repos/AICommunityInno/Seminars,62,45,259,2,1,10,2021-07-30T18:29:06Z
64289132,NeuromorphicProcessorProject/snn_toolbox,https://api.github.com/repos/NeuromorphicProcessorProject/snn_toolbox,244,92,654,2,96,10,2021-07-04T13:05:36Z
394089041,spiceai/spiceai,https://api.github.com/repos/spiceai/spiceai,703,28,351,40,153,9,2022-02-14T13:42:00Z
33114259,ottogroup/palladium,https://api.github.com/repos/ottogroup/palladium,480,56,343,3,11,9,2022-02-11T22:01:51Z
219559345,JdeRobot/BehaviorMetrics,https://api.github.com/repos/JdeRobot/BehaviorMetrics,32,21,738,32,134,9,2022-02-11T08:01:54Z
273549260,IBM/federated-learning-lib,https://api.github.com/repos/IBM/federated-learning-lib,267,81,148,13,27,9,2022-02-10T06:26:50Z
167412097,kubeflow-kale/kale,https://api.github.com/repos/kubeflow-kale/kale,480,93,644,78,72,9,2022-02-10T02:26:14Z
198628357,sktime/sktime-dl,https://api.github.com/repos/sktime/sktime-dl,515,70,487,17,30,9,2022-02-10T02:13:39Z
142100489,tech-srl/code2vec,https://api.github.com/repos/tech-srl/code2vec,831,228,161,10,114,9,2022-02-10T00:14:58Z
60218942,kundajelab/dragonn,https://api.github.com/repos/kundajelab/dragonn,239,70,344,13,16,9,2022-02-09T23:30:26Z
293719013,datamllab/tods,https://api.github.com/repos/datamllab/tods,521,75,274,26,7,9,2022-02-09T16:17:40Z
21620870,dsilvestro/PyRate,https://api.github.com/repos/dsilvestro/PyRate,44,23,900,1,7,9,2022-02-03T19:06:31Z
91534719,philipperemy/keract,https://api.github.com/repos/philipperemy/keract,960,185,385,3,81,9,2022-01-24T10:17:05Z
76486613,keunwoochoi/kapre,https://api.github.com/repos/keunwoochoi/kapre,801,140,194,11,82,9,2022-01-21T20:10:47Z
109618587,analysiscenter/radio,https://api.github.com/repos/analysiscenter/radio,207,51,2488,19,26,9,2022-01-21T14:20:04Z
138826167,MIDS-scaling-up/v2,https://api.github.com/repos/MIDS-scaling-up/v2,74,111,1199,13,5,9,2022-01-13T04:21:21Z
261773048,A3Data/hermione,https://api.github.com/repos/A3Data/hermione,180,36,203,0,10,9,2022-01-03T13:15:38Z
260499197,nasa/delta,https://api.github.com/repos/nasa/delta,141,46,717,2,31,9,2021-12-16T17:23:49Z
159427040,anki/vector-python-sdk,https://api.github.com/repos/anki/vector-python-sdk,501,328,156,19,12,9,2021-12-12T09:31:46Z
257968757,CoronaWhy/task-ts,https://api.github.com/repos/CoronaWhy/task-ts,15,15,165,18,16,9,2021-11-14T00:54:04Z
254032994,zilliztech/phantoscope,https://api.github.com/repos/zilliztech/phantoscope,142,42,208,8,52,9,2021-08-25T16:13:27Z
119457511,farizrahman4u/eywa,https://api.github.com/repos/farizrahman4u/eywa,27,15,164,2,1,9,2021-06-05T19:35:15Z
89018492,broadinstitute/keras-resnet,https://api.github.com/repos/broadinstitute/keras-resnet,278,124,124,25,14,9,2021-06-04T20:19:59Z
227367327,PINTO0309/PINTO_model_zoo,https://api.github.com/repos/PINTO0309/PINTO_model_zoo,1428,239,1557,5,165,8,2022-02-13T14:51:07Z
144964647,nginyc/rafiki,https://api.github.com/repos/nginyc/rafiki,29,23,1065,38,66,8,2022-02-12T13:35:39Z
333285618,MIDS-scaling-up/v3,https://api.github.com/repos/MIDS-scaling-up/v3,27,30,414,4,1,8,2022-02-11T20:13:17Z
84505424,adalca/neurite,https://api.github.com/repos/adalca/neurite,242,46,728,6,4,8,2022-02-11T14:27:48Z
89311508,ucloud/uai-sdk,https://api.github.com/repos/ucloud/uai-sdk,33,27,334,0,3,8,2022-02-09T23:48:47Z
83119431,apachecn/AiLearning,https://api.github.com/repos/apachecn/AiLearning,32639,10734,206,2,100,8,2022-02-08T16:25:59Z
138786192,stardist/stardist,https://api.github.com/repos/stardist/stardist,368,114,674,27,134,8,2022-02-07T21:14:11Z
73519205,raghakot/keras-vis,https://api.github.com/repos/raghakot/keras-vis,2912,640,195,113,101,8,2022-02-07T16:06:07Z
176913197,drowe67/LPCNet,https://api.github.com/repos/drowe67/LPCNet,55,17,418,3,10,8,2021-12-31T23:48:39Z
71849748,totalgood/nlpia,https://api.github.com/repos/totalgood/nlpia,499,214,1045,11,15,8,2021-12-31T10:03:20Z
